,regio1,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,cellar,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,typeOfFlat,noRooms,floor,numberOfFloors,garden,regio2,ID,Tipologia_Affitti,Tipologia_Propieta
1188,Nordrhein_Westfalen,True,True,1096.0,2017.0,1.0,False,True,1f,64.4,Düsseldorf,mint_condition,sophisticated,negotiable,Luise-Rainer-Str.,Luise-Rainer-Str.,True,apartment,2.0,4.0,5.0,False,Düsseldorf,23,economico,bilocale
1201,Nordrhein_Westfalen,False,True,850.0,1971.0,1.0,False,True,149,100.0,Bielefeld,well_kept,normal,negotiable,Deppendorfer Stra&szlig;e,Deppendorfer_Straße,False,apartment,4.0,2.0,3.0,True,Bielefeld,24,medio,
1240,Nordrhein_Westfalen,True,True,1812.0,2018.0,2.0,True,False,147,115.06,Düsseldorf,first_time_use,sophisticated,negotiable,Erkrather Stra&szlig;e,Erkrather_Straße,True,apartment,3.0,5.0,5.0,True,Düsseldorf,25,costoso,
1275,Nordrhein_Westfalen,False,True,625.0,1992.0,1.0,True,True,10,39.0,Köln,well_kept,normal,no,Benfleetstra&szlig;e,Benfleetstraße,True,apartment,1.0,1.0,5.0,False,Köln,26,economico,monolocale
1282,Nordrhein_Westfalen,False,False,452.0,1959.0,1.0,False,True,172,58.0,Gelsenkirchen,refurbished,sophisticated,no,Bickernsstra&szlig;e,Bickernsstraße,False,apartment,3.5,3.0,3.0,True,Gelsenkirchen,27,economico,
1351,Nordrhein_Westfalen,False,True,715.0,1964.0,1.0,False,True,58 a,83.0,Mönchengladbach,well_kept,normal,no,Eickener H&ouml;he,Eickener_Höhe,False,apartment,3.0,3.0,3.0,False,Mönchengladbach,28,economico,trilocale
1369,Nordrhein_Westfalen,True,True,1380.48,2018.0,1.0,False,True,440,96.82,Aachen,first_time_use,sophisticated,no,Oberforstbacherstra&szlig;e,Oberforstbacherstraße,True,roof_storey,3.0,2.0,2.0,False,Aachen,29,costoso,trilocale
1462,Nordrhein_Westfalen,True,True,1030.0,2018.0,1.0,False,True,18,95.42,Warendorf_Kreis,first_time_use,sophisticated,no,Bellmannstra&szlig;e,Bellmannstraße,True,roof_storey,3.0,2.0,2.0,False,Warendorf_Kreis,30,costoso,trilocale
1561,Nordrhein_Westfalen,False,True,694.0,1972.0,1.0,False,True,14,70.0,Essen,first_time_use_after_refurbishment,sophisticated,no,Freisenbruchstr.,Freisenbruchstr.,True,apartment,2.0,6.0,10.0,True,Essen,31,economico,
1598,Nordrhein_Westfalen,True,True,1228.84,2018.0,1.0,False,True,440,100.32,Aachen,first_time_use,sophisticated,no,Oberforstbacherstra&szlig;e,Oberforstbacherstraße,True,ground_floor,3.0,0.0,2.0,False,Aachen,32,costoso,
1664,Nordrhein_Westfalen,False,True,827.5,1997.0,1.0,False,True,34,77.0,Solingen,well_kept,sophisticated,negotiable,Wolfsfeld,Wolfsfeld,False,maisonette,2.5,3.0,3.0,False,Solingen,33,medio,
1689,Nordrhein_Westfalen,False,True,1640.0,2005.0,3.0,False,True,31,160.0,Mülheim_an_der_Ruhr,mint_condition,sophisticated,no,Bismarckstr.,Bismarckstr.,False,maisonette,4.0,2.0,2.0,True,Mülheim_an_der_Ruhr,34,costoso,
1709,Nordrhein_Westfalen,False,True,620.0,1999.0,1.0,False,True,131 c,79.25,Rhein_Erft_Kreis,mint_condition,sophisticated,no,Sandstra&szlig;e,Sandstraße,False,half_basement,2.0,0.0,2.0,True,Rhein_Erft_Kreis,35,economico,
1739,Nordrhein_Westfalen,False,True,725.0,1920.0,1.0,False,True,20,79.0,Wuppertal,refurbished,normal,negotiable,Emmastra&szlig;e,Emmastraße,False,apartment,3.0,1.0,3.0,True,Wuppertal,36,medio,trilocale
1821,Nordrhein_Westfalen,False,False,415.0,1920.0,1.0,False,True,62,54.0,Mettmann_Kreis,well_kept,normal,no,Johannesberger Strasse,Johannesberger_Strasse,False,apartment,2.0,1.0,3.0,True,Mettmann_Kreis,37,economico,bilocale
1829,Nordrhein_Westfalen,False,True,660.0,1958.0,0.0,False,True,73-75,65.7,Mülheim_an_der_Ruhr,well_kept,normal,no,Leineweberstr.,Leineweberstr.,True,roof_storey,3.0,6.0,6.0,False,Mülheim_an_der_Ruhr,38,economico,
1928,Nordrhein_Westfalen,False,True,620.0,1984.0,1.0,False,True,127,46.5,Düsseldorf,well_kept,normal,negotiable,Gatherweg,Gatherweg,True,ground_floor,1.5,0.0,4.0,False,Düsseldorf,39,economico,
2119,Nordrhein_Westfalen,False,True,740.0,2017.0,1.0,False,False,13,70.0,Heinsberg_Kreis,mint_condition,sophisticated,negotiable,Martinusstra&szlig;e,Martinusstraße,False,ground_floor,3.0,0.0,2.0,True,Heinsberg_Kreis,40,medio,trilocale
2146,Nordrhein_Westfalen,False,True,835.5,1974.0,1.0,False,False,1,87.0,Märkischer_Kreis,fully_renovated,sophisticated,negotiable,Uhlandstr.,Uhlandstr.,True,apartment,3.0,1.0,4.0,False,Märkischer_Kreis,41,medio,trilocale
2252,Nordrhein_Westfalen,False,True,1150.0,2006.0,1.0,False,True,1,93.27,Düsseldorf,well_kept,sophisticated,negotiable,Theodorstr.,Theodorstr.,True,roof_storey,3.0,4.0,4.0,False,Düsseldorf,42,economico,trilocale
2291,Nordrhein_Westfalen,False,True,1515.0,2004.0,1.0,True,True,160c,100.0,Wuppertal,well_kept,sophisticated,yes,Adolf-Vorwerk-Strasse,Adolf-Vorwerk-Strasse,False,penthouse,3.0,2.0,2.0,False,Wuppertal,43,costoso,
2357,Nordrhein_Westfalen,True,True,1151.95,2018.0,1.0,False,False,100,70.89,Düsseldorf,first_time_use,sophisticated,no,Werdener Stra&szlig;e,Werdener_Straße,True,apartment,2.0,2.0,6.0,False,Düsseldorf,44,economico,
2392,Nordrhein_Westfalen,False,True,501.75,2017.0,1.0,False,True,5,66.98,Heinsberg_Kreis,mint_condition,sophisticated,no,An der Vogelstange,An_der_Vogelstange,True,apartment,2.0,1.0,2.0,False,Heinsberg_Kreis,45,economico,bilocale
2487,Nordrhein_Westfalen,False,True,825.0,1991.0,1.0,True,True,21,73.18,Düren_Kreis,well_kept,sophisticated,negotiable,Am Wehebach,Am_Wehebach,False,roof_storey,2.0,3.0,3.0,False,Düren_Kreis,46,medio,
2505,Nordrhein_Westfalen,False,True,1515.0,2015.0,1.0,False,True,16,94.0,Köln,mint_condition,luxury,no,Hauptstr,Hauptstr,True,apartment,3.0,0.0,3.0,False,Köln,47,costoso,trilocale
2630,Nordrhein_Westfalen,False,True,1300.0,1930.0,1.0,False,True,39,97.53,Bonn,first_time_use_after_refurbishment,sophisticated,no,Kekul&eacute;str.,Kekuléstr.,False,apartment,3.0,1.0,2.0,False,Bonn,48,costoso,trilocale
2682,Nordrhein_Westfalen,False,False,667.0,1970.0,1.0,True,True,57,50.0,Aachen,fully_renovated,normal,negotiable,Br&uuml;hlstra&szlig;e,Brühlstraße,False,roof_storey,2.0,3.0,3.0,False,Aachen,49,economico,bilocale
2802,Nordrhein_Westfalen,False,True,675.0,2000.0,1.0,True,True,23,50.0,Köln,well_kept,sophisticated,no,Alte Forststra&szlig;e,Alte_Forststraße,False,maisonette,2.5,2.0,2.0,False,Köln,50,economico,
2816,Nordrhein_Westfalen,True,True,995.79,2018.0,1.0,False,False,11b,86.89,Aachen_Kreis,first_time_use,sophisticated,no,Salmanusstra&szlig;e,Salmanusstraße,True,half_basement,2.0,-1.0,2.0,True,Aachen_Kreis,51,costoso,
2850,Nordrhein_Westfalen,False,True,875.53,2016.0,1.0,False,True,111,82.79,Düren_Kreis,well_kept,sophisticated,negotiable,Oberstr.,Oberstr.,True,apartment,2.0,1.0,3.0,False,Düren_Kreis,52,medio,
2905,Nordrhein_Westfalen,False,False,515.0,1991.0,1.0,False,True,1,55.0,Bochum,well_kept,normal,negotiable,Vorstadtstr.,Vorstadtstr.,False,roof_storey,2.5,3.0,3.0,False,Bochum,53,economico,
2909,Nordrhein_Westfalen,False,True,555.0,1990.0,1.0,False,False,22,60.0,Wesel_Kreis,well_kept,sophisticated,no,Im Eschenholz,Im_Eschenholz,False,roof_storey,2.0,2.0,2.0,True,Wesel_Kreis,54,economico,bilocale
2970,Nordrhein_Westfalen,True,True,2090.0,2019.0,1.0,False,True,21,141.0,Münster,first_time_use,sophisticated,no,Schaumburgstra&szlig;e,Schaumburgstraße,True,apartment,4.0,3.0,4.0,False,Münster,55,costoso,
3021,Nordrhein_Westfalen,True,True,1999.0,2019.0,1.0,False,True,90 A/B/C,127.0,Düsseldorf,first_time_use,sophisticated,negotiable,Suitbertusstra&szlig;e,Suitbertusstraße,False,terraced_flat,5.0,1.0,3.0,False,Düsseldorf,56,costoso,per famiglie
3138,Nordrhein_Westfalen,False,True,850.0,1973.0,1.0,False,True,226,87.0,Neuss_Rhein_Kreis,modernized,sophisticated,negotiable,Kaarster Str.,Kaarster_Str.,False,apartment,3.0,1.0,3.0,False,Neuss_Rhein_Kreis,57,economico,trilocale
3222,Nordrhein_Westfalen,False,True,965.0,1984.0,1.0,False,True,34,112.0,Heinsberg_Kreis,modernized,sophisticated,no,Am Schneller,Am_Schneller,False,maisonette,5.0,3.0,3.0,False,Heinsberg_Kreis,58,costoso,per famiglie
3319,Nordrhein_Westfalen,False,True,1070.0,2016.0,1.0,False,True,305,84.63,Aachen,mint_condition,sophisticated,negotiable,Roermonder Str.,Roermonder_Str.,True,apartment,3.0,1.0,3.0,True,Aachen,59,medio,trilocale
3347,Nordrhein_Westfalen,False,False,459.3,1985.0,1.0,False,True,50,55.03,Ennepe_Ruhr_Kreis,modernized,normal,no,Bahnhofstr.,Bahnhofstr.,False,roof_storey,3.0,4.0,4.0,False,Ennepe_Ruhr_Kreis,60,economico,
3402,Nordrhein_Westfalen,False,True,689.0,2012.0,1.0,False,True,1,67.25,Coesfeld_Kreis,mint_condition,sophisticated,negotiable,Daruper Stra&szlig;e,Daruper_Straße,True,ground_floor,2.0,0.0,1.0,False,Coesfeld_Kreis,61,medio,bilocale
3419,Nordrhein_Westfalen,False,True,741.0,2000.0,2.0,False,False,343,59.0,Bochum,well_kept,sophisticated,negotiable,Herner Str.,Herner_Str.,True,roof_storey,2.5,4.0,4.0,False,Bochum,62,economico,
3557,Nordrhein_Westfalen,False,True,550.0,2000.0,0.0,False,False,201,67.96,Hagen,well_kept,normal,negotiable,Hohenlimburger Stra&szlig;e,Hohenlimburger_Straße,False,apartment,3.0,2.0,2.0,False,Hagen,63,medio,
3596,Nordrhein_Westfalen,False,False,545.0,1959.0,1.0,False,True,17,57.12,Essen,well_kept,normal,negotiable,Friedbergstra&szlig;e,Friedbergstraße,False,apartment,3.5,3.0,4.0,True,Essen,64,economico,
3603,Nordrhein_Westfalen,False,True,985.0,2016.0,1.0,True,True,17,70.0,Aachen,mint_condition,sophisticated,no,Hauptstrasse,Hauptstrasse,True,apartment,2.0,2.0,4.0,True,Aachen,65,medio,
3608,Nordrhein_Westfalen,False,True,1050.0,1985.0,1.0,False,True,11,108.0,Viersen_Kreis,well_kept,sophisticated,no,L&uuml;ttelbrachter Str.,Lüttelbrachter_Str.,False,ground_floor,4.0,0.0,2.0,False,Viersen_Kreis,66,costoso,
3672,Nordrhein_Westfalen,False,False,590.0,1904.0,1.0,False,True,11,80.0,Gelsenkirchen,well_kept,normal,negotiable,Fr&ouml;belstr.,Fröbelstr.,False,roof_storey,3.5,2.0,2.0,True,Gelsenkirchen,67,medio,
3686,Nordrhein_Westfalen,False,True,850.0,1926.0,2.0,False,False,27,85.0,Minden_Lübbecke_Kreis,first_time_use,sophisticated,yes,Portastra&szlig;e,Portastraße,False,roof_storey,3.0,1.0,1.0,True,Minden_Lübbecke_Kreis,68,medio,trilocale
3732,Nordrhein_Westfalen,False,True,1070.0,1996.0,1.0,True,True,11,110.0,Krefeld,well_kept,sophisticated,no,Am Eickerhof,Am_Eickerhof,False,maisonette,3.0,2.0,3.0,False,Krefeld,69,costoso,
3834,Nordrhein_Westfalen,True,True,1059.1,2019.0,1.0,False,True,29,85.91,Gelsenkirchen,first_time_use,sophisticated,no,Im Waldquartier,Im_Waldquartier,True,apartment,3.5,1.0,3.0,False,Gelsenkirchen,70,costoso,
3875,Nordrhein_Westfalen,False,True,500.0,1998.0,1.0,False,True,125,56.6,Wesel_Kreis,well_kept,normal,negotiable,Steinstr.,Steinstr.,False,roof_storey,2.5,3.0,3.0,False,Wesel_Kreis,71,economico,
3936,Nordrhein_Westfalen,False,True,1182.92,2013.0,1.0,False,True,11,76.91,Mülheim_an_der_Ruhr,fully_renovated,sophisticated,negotiable,Am Rathaus,Am_Rathaus,True,apartment,2.0,4.0,5.0,False,Mülheim_an_der_Ruhr,72,costoso,
3940,Nordrhein_Westfalen,False,True,560.0,1959.0,1.0,False,True,10,64.12,Unna_Kreis,fully_renovated,normal,negotiable,Hans-B&ouml;ckler-Str.,Hans-Böckler-Str.,False,apartment,3.0,0.0,3.0,False,Unna_Kreis,73,economico,
3956,Nordrhein_Westfalen,True,True,1150.0,2019.0,1.0,True,True,8,76.0,Rhein_Erft_Kreis,first_time_use,sophisticated,no,Kometenallee,Kometenallee,True,penthouse,2.0,2.0,2.0,False,Rhein_Erft_Kreis,74,medio,
4074,Nordrhein_Westfalen,False,True,780.0,1997.0,1.0,False,True,116,73.0,Hagen,well_kept,sophisticated,negotiable,Hochstra&szlig;e,Hochstraße,True,roof_storey,3.5,4.0,4.0,False,Hagen,75,medio,
4145,Nordrhein_Westfalen,True,True,970.72,2018.0,1.0,False,True,59-61,84.41,Viersen_Kreis,first_time_use,sophisticated,negotiable,Br&uuml;sseler Allee,Brüsseler_Allee,True,ground_floor,3.0,0.0,3.0,False,Viersen_Kreis,76,medio,trilocale
4268,Nordrhein_Westfalen,False,True,1320.0,2004.0,1.0,True,True,49,148.0,Düsseldorf,refurbished,normal,yes,Auf der Reide,Auf_der_Reide,False,maisonette,4.0,2.0,2.0,False,Düsseldorf,77,economico,
4278,Nordrhein_Westfalen,False,True,1100.0,2015.0,1.0,False,True,13a,77.41,Rheinisch_Bergischer_Kreis,mint_condition,sophisticated,negotiable,Im Grafeld,Im_Grafeld,False,apartment,2.0,2.0,3.0,True,Rheinisch_Bergischer_Kreis,78,medio,
4340,Nordrhein_Westfalen,False,False,580.0,1957.0,1.0,False,True,70,61.0,Bielefeld,first_time_use_after_refurbishment,sophisticated,no,Ziegelstra&szlig;e,Ziegelstraße,False,apartment,3.0,2.0,2.0,False,Bielefeld,79,economico,
4447,Nordrhein_Westfalen,True,True,1618.0,2019.0,1.0,False,False,2f,144.29,Düren_Kreis,first_time_use_after_refurbishment,sophisticated,no,Stegerstr.,Stegerstr.,False,apartment,3.0,1.0,2.0,False,Düren_Kreis,80,costoso,
4493,Nordrhein_Westfalen,False,True,675.0,1964.0,1.0,False,True,41,86.0,Recklinghausen_Kreis,modernized,sophisticated,no,Riphausstr.,Riphausstr.,False,apartment,3.5,1.0,2.0,False,Recklinghausen_Kreis,81,medio,
4594,Nordrhein_Westfalen,False,True,781.27,2010.0,20.0,True,False,22,59.0,Rhein_Sieg_Kreis,mint_condition,sophisticated,no,Am Grasgarten,Am_Grasgarten,True,apartment,2.0,1.0,2.0,True,Rhein_Sieg_Kreis,82,economico,bilocale
4600,Nordrhein_Westfalen,False,True,840.0,1992.0,1.0,True,True,34,82.5,Rhein_Sieg_Kreis,well_kept,normal,no,Heinrich-Heine-Stra&szlig;e,Heinrich-Heine-Straße,False,apartment,3.0,1.0,2.0,False,Rhein_Sieg_Kreis,83,medio,trilocale
4835,Nordrhein_Westfalen,True,True,590.0,2019.0,1.0,False,True,37,52.0,Hagen,first_time_use,normal,negotiable,Eickertstr.,Eickertstr.,True,apartment,2.0,1.0,3.0,False,Hagen,84,medio,bilocale
5000,Nordrhein_Westfalen,False,False,553.0,1983.0,1.0,False,True,16,72.0,Duisburg,well_kept,sophisticated,negotiable,Schmiedestra&szlig;e,Schmiedestraße,False,roof_storey,2.5,3.0,3.0,True,Duisburg,85,economico,
5089,Nordrhein_Westfalen,False,True,660.0,1974.0,1.0,False,True,1,84.0,Märkischer_Kreis,well_kept,normal,negotiable,Dahlienstr.,Dahlienstr.,False,roof_storey,3.0,2.0,2.0,True,Märkischer_Kreis,86,medio,trilocale
5234,Nordrhein_Westfalen,False,False,481.0,1950.0,0.0,True,True,173,66.0,Wuppertal,well_kept,normal,negotiable,Uellendahlerstr.,Uellendahlerstr.,False,apartment,2.0,2.0,4.0,True,Wuppertal,87,economico,bilocale
5289,Nordrhein_Westfalen,False,True,507.28,1999.0,1.0,False,True,274,84.53,Herford_Kreis,well_kept,normal,negotiable,L&ouml;hner Str.,Löhner_Str.,False,roof_storey,4.0,2.0,2.0,True,Herford_Kreis,88,economico,
5524,Nordrhein_Westfalen,False,True,1118.0,1984.0,1.0,False,True,1,101.0,Bonn,fully_renovated,normal,negotiable,Hans-Grade-Stra&szlig;e,Hans-Grade-Straße_,False,ground_floor,3.0,0.0,4.0,False,Bonn,89,medio,
5527,Nordrhein_Westfalen,True,True,1660.0,2019.0,1.0,False,True,1,115.35,Recklinghausen_Kreis,first_time_use,luxury,negotiable,Am Lohtor,Am_Lohtor,True,ground_floor,3.0,0.0,3.0,True,Recklinghausen_Kreis,90,costoso,
5652,Nordrhein_Westfalen,False,True,690.0,1970.0,1.0,False,True,63,80.0,Bochum,fully_renovated,sophisticated,negotiable,Marmelshagen,Marmelshagen,True,apartment,3.0,2.0,5.0,True,Bochum,91,economico,trilocale
5677,Nordrhein_Westfalen,False,True,1080.0,1984.0,1.0,False,True,7,89.0,Mettmann_Kreis,fully_renovated,normal,negotiable,Ernst-Baier-Weg,Ernst-Baier-Weg,False,apartment,3.0,1.0,3.0,False,Mettmann_Kreis,92,medio,trilocale
5711,Nordrhein_Westfalen,False,True,950.0,1996.0,1.0,False,True,47a,82.0,Düsseldorf,fully_renovated,sophisticated,negotiable,Demagstr.,Demagstr.,False,apartment,3.0,2.0,3.0,False,Düsseldorf,93,economico,trilocale
5714,Nordrhein_Westfalen,True,True,1347.17,2020.0,33.0,True,True,8,80.52,Dortmund,first_time_use,sophisticated,negotiable,Rodenbergstr.,Rodenbergstr.,True,apartment,2.0,2.0,4.0,True,Dortmund,94,costoso,
5717,Nordrhein_Westfalen,False,True,650.0,1956.0,1.0,True,True,34,100.0,Minden_Lübbecke_Kreis,negotiable,sophisticated,no,Postillionweg,Postillionweg,False,apartment,3.5,1.0,1.0,True,Minden_Lübbecke_Kreis,95,medio,
5727,Nordrhein_Westfalen,False,True,1233.2,2016.0,1.0,False,True,267,83.0,Dortmund,mint_condition,sophisticated,negotiable,Hagener Str.,Hagener_Str.,True,apartment,3.0,1.0,4.0,False,Dortmund,96,costoso,trilocale
5843,Nordrhein_Westfalen,False,True,779.0,1964.0,1.0,False,False,9,82.0,Gelsenkirchen,well_kept,normal,negotiable,Florastr.,Florastr.,True,apartment,3.0,2.0,10.0,False,Gelsenkirchen,97,costoso,trilocale
5919,Nordrhein_Westfalen,False,False,671.0,1934.0,1.0,False,True,21,80.0,Recklinghausen_Kreis,modernized,normal,no,Kirchstr.,Kirchstr.,False,roof_storey,4.5,2.0,2.0,True,Recklinghausen_Kreis,98,medio,
5983,Nordrhein_Westfalen,False,True,485.27,1999.0,1.0,False,True,127,66.07,Duisburg,well_kept,normal,negotiable,Kampstr.,Kampstr.,False,roof_storey,2.0,4.0,4.0,False,Duisburg,99,economico,bilocale
5985,Nordrhein_Westfalen,False,False,1280.0,1973.0,1.0,True,False,1,71.0,Köln,mint_condition,sophisticated,no,Theodor-Heuss-Ring,Theodor-Heuss-Ring,True,apartment,2.0,2.0,26.0,False,Köln,100,medio,
5999,Nordrhein_Westfalen,False,False,570.0,1957.0,1.0,False,True,27,90.0,Märkischer_Kreis,well_kept,normal,negotiable,Wehberger Stra&szlig;e,Wehberger_Straße,False,apartment,3.0,1.0,4.0,False,Märkischer_Kreis,101,economico,trilocale
6140,Nordrhein_Westfalen,True,True,1205.68,2018.0,1.0,False,False,11b,97.14,Aachen_Kreis,first_time_use,sophisticated,no,Salmanusstra&szlig;e,Salmanusstraße,True,ground_floor,4.0,0.0,2.0,True,Aachen_Kreis,102,costoso,
6152,Nordrhein_Westfalen,False,True,810.0,2001.0,1.0,False,True,32,100.0,Gütersloh_Kreis,modernized,normal,no,Kolpingstra&szlig;e,Kolpingstraße,False,apartment,4.0,1.0,2.0,True,Gütersloh_Kreis,103,medio,
6184,Nordrhein_Westfalen,False,True,570.0,1981.0,1.0,False,True,10,60.0,Recklinghausen_Kreis,well_kept,sophisticated,negotiable,Lavesumer Str.,Lavesumer_Str.,False,roof_storey,2.5,2.0,2.0,False,Recklinghausen_Kreis,104,economico,
6192,Nordrhein_Westfalen,False,True,1020.0,2012.0,1.0,False,True,5,100.0,Steinfurt_Kreis,mint_condition,sophisticated,no,Schinkelstra&szlig;e,Schinkelstraße,True,ground_floor,3.0,0.0,2.0,True,Steinfurt_Kreis,105,costoso,
6201,Nordrhein_Westfalen,False,False,710.0,1972.0,1.0,False,True,4,93.0,Recklinghausen_Kreis,well_kept,sophisticated,negotiable,Bahnhofstra&szlig;e,Bahnhofstraße,False,apartment,3.0,1.0,2.0,True,Recklinghausen_Kreis,106,medio,trilocale
6298,Nordrhein_Westfalen,False,True,450.0,1995.0,1.0,True,True,10,51.0,Gütersloh_Kreis,well_kept,normal,no,Karlsweg,Karlsweg,False,apartment,2.0,1.0,2.0,True,Gütersloh_Kreis,107,economico,bilocale
6451,Nordrhein_Westfalen,False,True,870.0,1990.0,1.0,False,False,2b,139.0,Heinsberg_Kreis,well_kept,sophisticated,no,Markusstra&szlig;e,Markusstraße,False,roof_storey,5.0,2.0,2.0,False,Heinsberg_Kreis,108,medio,per famiglie
